Circuit Name,No of Lines,No of Gates,Fault Model,Total Faults,GA Approach,Detected Faults,Fault Coverage,Test Set Size,Best Vector Set,Execution Time,Actual Generations,Time Limit Exceeded,Minimization Skipped,date,time
bw_291,87,307,GAF,308,Directed,308,100,9,"[101181, 915215, 214030, 777854, 151115727451828647482514, 606815, 122811, 981963, 30637]",2.0048,1,FALSE,FALSE,03-04-2026,12:24:33
bw_291,87,307,MMGF,613,Directed,613,100,5,"[19342813113834066796325951, 928747, 116879, 382013, 621934]",3.9221,1,FALSE,FALSE,03-04-2026,12:24:24
bw_291,87,307,PMGF,591,Directed,591,100,8,"[542052, 96827, 555490, 141689, 585644, 338881, 1015502, 160276]",5.9542,1,FALSE,FALSE,03-04-2026,12:24:31
bw_291,87,307,RGF,307,Directed,307,100,5,"[279023, 2417851639229258349967167, 170875, 262969, 558343]",1.7262,1,FALSE,FALSE,03-04-2026,13:37:02
bw_291,87,307,SAF,1478,Directed,1470,99.45872801,13,"[137856505328445079901529164, 135404469647668755024575222, 116434677333382742506458680, 135400872388569140503522365, 116283593786816495985653238, 96715283378839846738710079, 119684984883992303279788022, 106385481457836117899900412, 116076066890713836764558838, 19343996011861293163359478, 135404469647668755544419456, 135400872389585359765796342, 116076065737792333229182525]",106.0428,20,FALSE,FALSE,03-04-2026,13:31:18
bw_291,87,307,SMGF,307,Directed,307,100,5,"[73786976294839219903, 875759, 524459, 113821, 18014398509520295]",1.5419,1,FALSE,FALSE,03-04-2026,12:24:25
bw_291,87,307,GAF,308,Random,308,100,9,"[563959, 283895, 337887, 37778931862957162273078, 1099512512344, 833627, 968132, 18446744073709663441, 980332]",2.0744,1,FALSE,FALSE,03-04-2026,10:55:46
bw_291,87,307,MMGF,613,Random,613,100,5,"[786175, 163647, 550127, 14559, 891983]",3.619,1,FALSE,FALSE,03-04-2026,10:55:36
bw_291,87,307,PMGF,591,Random,591,100,9,"[1026308, 472699, 86672, 487165, 141516, 4503599628048327, 871928, 871809, 632706]",5.6194,1,FALSE,FALSE,03-04-2026,10:55:44
bw_291,87,307,RGF,307,Random,307,100,5,"[9007199255438335, 206187, 530575, 60669, 270503]",1.6875,1,FALSE,FALSE,03-04-2026,11:01:06
bw_291,87,307,SAF,1478,Random,1466,99.18809202,10,"[111825679838676461198184212, 107604138986813868873682927, 107637047978240269182044691, 41122674027968172917713166, 107745808902158999728687636, 107594398270101915798819583, 107745809109641808537717268, 111221175411881842846797807, 107615653225710097145990932, 111222651144212535510372238]",103.0505,20,FALSE,FALSE,03-04-2026,10:55:33
bw_291,87,307,SMGF,307,Random,307,100,5,"[873903, 749919, 549756135997, 405803, 574263]",1.7147,1,FALSE,FALSE,03-04-2026,10:55:38
cnt3-5_180,16,20,BF,600,Directed,600,100,3,"[42309, 13909, 40879]",0.0472,1,FALSE,FALSE,02-04-2026,16:06:09
cnt3-5_180,16,20,CAF,260,Directed,260,100,10,"[54416, 29978, 31389, 38155, 32320, 21776, 51664, 62666, 63114, 57408]",0.5528,5,FALSE,FALSE,02-04-2026,16:06:08
cnt3-5_180,16,20,GAF,21,Directed,21,100,2,"[64142, 19711]",0.0028,1,FALSE,FALSE,02-04-2026,16:06:08
cnt3-5_180,16,20,MMGF,39,Directed,39,100,4,"[5588, 64249, 30791, 1435]",0.0037,1,FALSE,FALSE,02-04-2026,16:06:07
cnt3-5_180,16,20,PMGF,70,Directed,70,100,5,"[52647, 65470, 37757, 47846, 56423]",0.4059,4,FALSE,FALSE,02-04-2026,16:06:08
cnt3-5_180,16,20,RGF,20,Directed,20,100,4,"[31354, 54952, 44248, 4803]",0.0666,1,FALSE,FALSE,02-04-2026,16:06:08
cnt3-5_180,16,20,SAF,120,Directed,120,100,3,"[62568, 1431, 27404]",0.0116,1,FALSE,FALSE,02-04-2026,16:06:07
cnt3-5_180,16,20,SMGF,20,Directed,20,100,3,"[38378, 8281, 29409]",0.0648,1,FALSE,FALSE,02-04-2026,16:06:07
cnt3-5_180,16,20,BF,600,Random,600,100,3,"[29013, 10872, 34442]",0.0955,1,FALSE,FALSE,02-04-2026,16:01:23
cnt3-5_180,16,20,CAF,260,Random,260,100,7,"[25688, 31451, 27296, 22155, 1110, 24224, 25632]",0.8704,7,FALSE,FALSE,02-04-2026,16:01:23
cnt3-5_180,16,20,GAF,21,Random,21,100,2,"[15010, 43913]",0.0028,1,FALSE,FALSE,02-04-2026,16:01:20
cnt3-5_180,16,20,MMGF,39,Random,39,100,2,"[28307, 26295]",0.0045,1,FALSE,FALSE,02-04-2026,16:01:20
cnt3-5_180,16,20,PMGF,70,Random,70,100,6,"[49599, 47949, 57846, 36779, 56369, 1126]",0.0076,1,FALSE,FALSE,02-04-2026,16:01:20
cnt3-5_180,16,20,RGF,20,Random,20,100,3,"[33107, 20161, 25633]",0.1113,1,FALSE,FALSE,02-04-2026,16:01:23
cnt3-5_180,16,20,SAF,120,Random,120,100,5,"[62177, 38349, 49497, 678, 35693]",0.012,1,FALSE,FALSE,02-04-2026,16:01:20
cnt3-5_180,16,20,SMGF,20,Random,20,100,2,"[59026, 26515]",0.0679,1,FALSE,FALSE,02-04-2026,16:01:20
cnt3-5_180,16,20,MBF,3640,Random,3640,100,2,"[59946, 20165]",0.4233,1,FALSE,FALSE,03-04-2026,23:47:38
cnt3-5_180,16,20,MBF,3640,Directed,3640,100,3,"[21837, 8810, 20149]",0.4382,1,FALSE,FALSE,03-04-2026,23:58:23
cycle10_2_110,12,19,BF,418,Directed,418,100,3,"[2642, 3392, 597]",0.0231,1,FALSE,FALSE,02-04-2026,16:05:52
cycle10_2_110,12,19,CAF,109,Directed,109,100,5,"[1535, 3326, 2559, 3325, 3582]",2.1201,14,FALSE,FALSE,02-04-2026,16:05:48
cycle10_2_110,12,19,GAF,20,Directed,20,100,2,"[1962, 2418]",0.0632,1,FALSE,FALSE,02-04-2026,16:05:40
cycle10_2_110,12,19,MMGF,37,Directed,37,100,2,"[4095, 4093]",1.4229,12,FALSE,FALSE,02-04-2026,16:05:13
cycle10_2_110,12,19,PMGF,3049,Directed,3017,98.95047557,13,"[4091, 2039, 4077, 2813, 1790, 4030, 2043, 4087, 4029, 3055, 4093, 3837, 2815]",3.9222,20,FALSE,FALSE,02-04-2026,16:05:40
cycle10_2_110,12,19,RGF,19,Directed,19,100,2,"[4093, 4094]",3.635,11,FALSE,FALSE,02-04-2026,16:05:52
cycle10_2_110,12,19,SAF,238,Directed,238,100,4,"[3684, 3223, 865, 3258]",0.016,1,FALSE,FALSE,02-04-2026,16:05:09
cycle10_2_110,12,19,SMGF,19,Directed,19,100,2,"[3581, 3583]",5.9081,17,FALSE,FALSE,02-04-2026,16:05:28
cycle10_2_110,12,19,BF,418,Random,418,100,3,"[2648, 3893, 2737]",0.0217,1,FALSE,FALSE,02-04-2026,16:01:08
cycle10_2_110,12,19,CAF,109,Random,101,92.66055046,5,"[1151, 2110, 3198, 1087, 2175]",2.7059,20,FALSE,FALSE,02-04-2026,16:01:07
