Circuit Name,No of Lines,No of Gates,Fault Model,Actual Generations,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Test Set Size,Execution Time,Time Limit Exceeded,Minimization Skipped,Detected Faults List
ham15_107,15,132,SMGF,20,132,123,93.18181818181817,"[7039, 23423, 3711, 27515, 23413, 2939, 2683, 7029, 28283, 27627, 27519, 27509, 23419, 20475, 19323, 19067, 8171, 8167, 3707, 28539, 7019, 27637, 28391, 8059, 27629]",25,2.0309999999881256,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
ham15_298,45,153,SMGF,1,153,153,100.0,"[26370523114072, 26301803636884, 34736753374725, 34734605879706, 34012722549822, 23896866388606, 6304680344163, 26301803898877, 25752047971525, 15150191134274, 8140885375781, 25202290584736, 15183317488702, 25785617359934, 33650971819781, 16333530687384, 31454723983456, 14877431710975, 8140933098506, 31454723983770, 33650969158653, 14237863293455, 30646444498758, 16333530720171, 14877465274798, 30338706863625, 28447350137432, 17141136327159, 31328568727820, 17123956390127, 33650165178259, 17034196458305, 17123956457975, 31455261088169, 17274153501603, 9823475127358, 28361800368185, 17273885066144, 17034195649107, 14905864321463, 13653417442085, 8327863435766, 8308794555319, 32753070696346, 26644710746212, 25455008672965, 11403757899909, 32753070518511, 25781322393597, 28413050144322, 7248798834410, 7248261963499, 4070379446828, 8309061214131, 29677235351723, 10974394066765, 23956977664931, 18136354778141, 13652880635756, 9379027086496, 31223678997811, 26644765516707, 18136354778138, 10974394084490, 29539796398251, 4048186993591, 12636149139354, 9380100826591, 25189475326793, 4715524188058, 5887070711967, 542243150124, 34310454985983, 17010388131763, 4008371090898, 18768323967215, 4787559084207, 29654307053382, 10455106777000, 15910876496375, 7234076588837, 19124807584570, 19124794473255, 21888334542303, 19124807715624, 23676003156815, 1396772028919, 1121894128041, 1049323944741, 757605528442]",90,1.6410000000032596,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
ham3_102,3,5,SMGF,1,5,5,100.0,"[5, 7]",2,0.0,False,False,"[True, True, True, True, True]"
ham7_104,7,23,SMGF,1,23,23,100.0,"[77, 97, 79, 14]",4,0.01600000000325963,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
hwb4_51,4,11,SMGF,1,11,11,100.0,"[7, 13]",2,0.0,False,False,"[True, True, True, True, True, True, True, True, True, True, True]"
hwb5_300,28,88,SMGF,1,88,88,100.0,"[94386361, 222115338, 94399153, 94379189, 94387367, 94403606, 194206417, 118732681, 94383271, 191984110, 161360761, 133047947, 117927433, 159524483, 117899573, 27141174, 118339082, 161358899, 159524491, 122059687, 122051449, 122051187, 59537390, 133807408, 200916400, 164844967, 151135876, 240774697, 213676966, 164828577, 54213280, 116326383, 68627478, 213678800, 106616470, 57337420, 213673967, 164787110, 57337371, 78863057, 106444967, 206209668, 173448228, 158103534, 176301699, 173448355, 140111401, 45372066, 11072958, 181765415, 71587867, 39059711, 140012208, 140013238, 138830283]",55,0.34299999999348074,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
hwb5_54,5,24,SMGF,20,24,22,91.66666666666666,"[11, 13, 15, 14]",4,0.25,False,False,"[False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
hwb6_301,46,159,SMGF,1,159,159,100.0,"[60538941496414, 69658847347593, 60614014819447, 61218394204802, 50885959206815, 16842851183234, 61218410982802, 61222938311347, 16842854791475, 33884049205504, 69955162514870, 50885824989087, 8046761345929, 52313831566766, 52313831319711, 50886573007626, 69937982645687, 42225841089293, 69658020900475, 50611081299382, 65256926050906, 43266693495642, 7535300536970, 8283436936622, 7536273246841, 7535303420063, 64462878132857, 7535303420861, 65929781427272, 52516090374802, 8249380253988, 65325058997320, 8283737210331, 55973564227745, 30667699605784, 65320764295801, 34766495458742, 65928707628074, 55666796026975, 8283737206265, 57330353368494, 65320758584502, 55666795951993, 66853407260283, 57112534170696, 55666795951984, 55001589557544, 49361200503927, 38791931289533, 38780992544701, 3607573013322, 22129468815055, 20374012726490, 11330025847040, 55114683430607, 20163602755876, 41115167681650, 38935586293452, 22177898990810, 11338614702984, 11338615782305, 38935586586079, 38763785440642, 14280449703293, 11338692127008, 38935586293245, 40026817833741, 11338615769036, 32034997300493, 65815927317010, 27674576292669, 63637671795831, 2571416703268, 61743137725658, 2583629380680, 2506948775130, 39853069118418, 22129468801673, 4574134131266, 61772694158003, 4687334566530, 45609850956914, 45472898225390, 45471824444250, 45465665166455, 45189530663651, 46148673721569, 1626706520770, 9567761275448, 37059147527281, 44962963944038, 36084597760130]",92,1.8599999999860302,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
hwb6_57,6,65,SMGF,20,65,60,92.3076923076923,"[55, 51, 45, 43, 23, 39]",6,0.34400000001187436,False,False,"[True, True, True, False, False, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
hwb7_60,7,166,SMGF,20,166,133,80.12048192771084,"[87, 95, 91, 75, 83, 85, 86, 71]",8,0.875,False,False,"[True, True, True, False, False, True, True, False, False, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, False, True, True, True, False, True, True, False, True, True, False, True, True, True, False, True, True, True, False, False, False, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, False, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
mod5adder_127,6,21,SMGF,20,21,20,95.23809523809523,"[58, 56, 59]",3,0.23399999999674037,False,False,"[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True]"
mod5d1_63,5,7,SMGF,1,7,7,100.0,"[22, 25]",2,0.0,False,False,"[True, True, True, True, True, True, True]"
mux_246,22,35,SMGF,20,35,26,74.28571428571429,"[4183631, 4059889, 2092619, 2006921, 4109905, 2092986, 4183633, 4183621, 4109658, 4109657, 4109641, 4059857, 4059856, 3699441, 3698175, 3698123, 3692100, 3667811, 3666507, 3436031, 3317421, 3251915, 3251885, 1278539, 1220491, 1220489, 1220313, 1220269, 1220171, 4183620, 4091135, 4059723, 3711269, 3703077, 3684208, 3684185, 2086468]",37,0.46900000001187436,False,True,"[True, True, True, True, False, False, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, False, True, True, True, False, False, True, True, True, True, False]"
one-two-three-v0_97,5,11,SMGF,1,11,11,100.0,"[1, 5, 27]",3,0.0,False,False,"[True, True, True, True, True, True, True, True, True, True, True]"
rd32-v0_66,4,4,SMGF,1,4,4,100.0,"[11, 15]",2,0.0,False,False,"[True, True, True, True]"
rd53_131,7,28,SMGF,1,28,28,100.0,"[121, 111, 58, 125, 107]",5,0.014999999984866008,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
rd84_142,15,28,SMGF,20,28,27,96.42857142857143,"[31657, 32123, 31849, 31336, 31257, 30657, 30529, 26767, 21709, 25788, 29949, 17629, 3455, 2380, 31052, 31044, 26974, 25799, 25560, 6477, 2220, 26952, 18681, 18605, 18563, 24767, 24719, 10247]",28,0.28200000000651926,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True]"
rd84_313,34,104,SMGF,1,104,104,100.0,"[16954147993, 13358928868, 13358928356, 16939642693, 16939646789, 13358941697, 16920406126, 8187577668, 13392455978, 15535084516, 15526693392, 3177255214, 13258239201, 10166996961, 3177529595, 8369234576, 15576255861, 14601130153, 7618937872, 13407387850, 15526694446, 10409448153, 7435382674, 4035691673, 10450122321, 10183774093, 6593831086, 3733518446, 7284076442, 3592508929, 6114497241, 3645608105, 13407380112, 7294495613, 6067895658, 7295544180, 6595928238, 5626103108, 9944469673, 6067961192, 6067897497, 4828373066, 13165719794, 9943422931, 6823591952, 6488387826, 3470646890, 3437092458, 14071860168, 6067959910, 5626632543, 4954974254, 9942917776, 7151882538, 3470595060, 10048187165, 9946344052, 3325543440, 3735173932, 508928666, 14071784336, 6556426314, 6541246682, 7617722661, 4954990954, 381142032, 249405034]",67,0.6089999999967404,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
ryy6_256,17,44,SMGF,20,44,36,81.81818181818183,"[131069, 130941, 130813, 130045, 130044, 127997, 127996, 126972, 127869, 127741, 127740, 127613, 127612, 126845, 126844, 126717, 126716, 126589, 126588, 125949, 125948]",21,0.45300000000861473,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False]"
squar5_261,13,43,SMGF,20,43,42,97.67441860465115,"[2013, 7099, 6651, 2971, 1947, 923, 5815, 4727, 1207, 5267, 5845, 5781, 3381, 2005, 725, 8007, 7943, 6919, 5846, 4726, 4679]",21,0.34299999999348074,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
sym6_316,14,29,SMGF,1,29,29,100.0,"[16291, 16163, 14136, 7966, 4934, 16353, 16225, 15713, 13921, 4961, 15881, 5090, 15905, 11696, 16322, 15911, 10510, 7056, 5688, 3879, 11686, 11533, 2641, 5282, 12450, 4774, 606, 924]",28,0.01600000000325963,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
sym9_148,10,210,SMGF,2,210,210,100.0,"[1022, 506, 924, 492, 252]",5,2.9059999999881256,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
sys6-v0_144,10,15,SMGF,1,15,15,100.0,"[1016, 504, 1001, 1000, 1012]",5,0.01600000000325963,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
